strike,call price at period 1,call price at period 2,call price at period 3
50,101.7300034,101.8399963,98.55000305
55,95.40000153,96.81999969,95.05000305
60,91.76000214,88.72000122,91.5
65,75.37000275,87,86.15000153
70,81.40000153,80.15000153,81.55000305
75,76.90000153,76.65000153,76.65000153
80,70.59999847,72.05000305,68.52999878
85,65.30000305,64.56999969,64.09999847
90,60.18000031,61.79999924,59.34999847
95,55.25,57.22000122,57.36000061
100,49.09999847,51.20000076,52.59999847
105,44.09999847,47.45000076,46.70000076
110,42,42.70000076,42.40999985
115,36.52000046,37.06999969,35.75
120,30.64999962,31.64999962,33.50999832
125,27.19000053,27.04999924,30
130,21.85000038,22.56999969,24.36000061
135,15.89999962,18.07999992,20.71999931
140,11.64999962,14.60000038,16.64999962
145,8.159999847,11,13.5
150,4.849999905,7.909999847,10.5
155,2.460000038,5.349999905,7.849999905
160,1.029999971,3.299999952,5.679999828
165,0.379999995,1.909999847,3.930000067
170,0.129999995,1.039999962,2.670000076
175,0.059999999,0.540000021,1.75
180,0.039999999,0.289999992,1.110000014
185,0.02,0.150000006,0.699999988
190,0.02,0.100000001,0.479999989
195,0.02,0.059999999,0.25999999
200,0.02,0.059999999,0.189999998
205,0.01,0.039999999,0.129999995
210,0.01,0.039999999,0.090000004
215,0.01,0.029999999,0.07
220,0.01,0.02,0.050000001
225,0.01,0.02,0.039999999
230,0.02,0.01,0.029999999
235,0.01,0.02,0.050000001
240,0.01,0.01,0.029999999
245,0.01,0.01,0.02
250,0.01,0.01,0.029999999
255,0.01,0.01,0.02
260,0.01,0.01,0.02
265,0.01,0,0.02
270,0.01,0.01,0.01
275,0.01,0,0.01
280,0.01,0.02,0.01
